Id,SalePrice
1461,162975.50965163345
1462,162988.59896384523
1463,162998.36845984717
1464,162962.51887922458
1465,162920.11642541335
1466,162962.5079442085
1467,162942.88522552684
1468,162946.72171363255
1469,162964.41147430087
1470,162944.77128826166
1471,162926.61827429626
1472,162901.69846600402
1473,162902.00786492255
1474,162905.37861129057
1475,162903.65230267818
1476,162994.47564614203
1477,162991.8018183554
1478,162980.31737308847
1479,163003.84747919787
1480,163010.47018971742
1481,163001.29428442437
1482,162937.0641329681
1483,163028.66670531026
1484,162909.2144410824
1485,162991.40936708718
1486,162949.59781661513
1487,163027.86243050292
1488,162955.6016616675
1489,162954.8659003853
1490,162967.8395512872
1491,162981.16754673453
1492,162958.17944285966
1493,163010.50928884477
1494,162995.34065226
1495,162977.4315174485
1496,162920.31923008023
1497,162911.74305004594
1498,162908.1091990718
1499,162905.19489719468
1500,162905.4119514025
1501,162908.95858712823
1502,162904.23481937588
1503,162991.13057066742
1504,162939.7464680422
1505,162945.28357899547
1506,162970.4888639153
1507,162974.76621433318
1508,163031.75097080565
1509,162958.39088234873
1510,162958.30093667912
1511,162960.87071285647
1512,162960.92289334428
1513,162968.15820435408
1514,162993.06784609958
1515,162964.05798123003
1516,163022.99361586882
1517,162974.2173779093
1518,162948.54135562922
1519,162947.20379561195
1520,162942.95201875735
1521,162968.6442027554
1522,162963.88977525214
1523,162945.97411843686
1524,162969.39721069904
1525,162968.71915328296
1526,162993.81020811608
1527,162940.14487805185
1528,162942.51837231524
1529,162939.42726716577
1530,162960.79752784598
1531,162919.4236133119
1532,162913.2802861176
1533,162925.40670458085
1534,162932.68413784305
1535,162980.4353284703
1536,162944.79490669444
1537,162956.08665734273
1538,162958.53397683398
1539,162954.5397964756
1540,162953.82803798016
1541,162967.13914927602
1542,162925.9845796557
1543,162944.1178472705
1544,162916.76262675956
1545,162924.5484915185
1546,162925.04581794218
1547,162929.00156586882
1548,162926.0795886629
1549,162926.37910900358
1550,162928.75270889726
1551,162926.53287146776
1552,162946.19391427675
1553,162987.14551680067
1554,162907.61377237516
1555,163011.04372166432
1556,162966.3135565335
1557,162959.31343987674
1558,162923.83206509284
1559,162929.58544161744
1560,162927.63423227708
1561,162971.0695050132
1562,162938.96719931875
1563,162939.40420590574
1564,162939.19881467876
1565,162972.9092907017
1566,163034.78111076978
1567,162951.71081630152
1568,163023.46313345167
1569,163028.7239272434
1570,162973.86911326504
1571,162955.0437202418
1572,162956.98924586765
1573,163024.77251435732
1574,162973.99115550183
1575,162982.31639395002
1576,162986.53607860964
1577,162938.06445519585
1578,163000.47097472794
1579,162970.77480482575
1580,162956.5755134969
1581,163007.10132897279
1582,162936.54551393297
1583,162971.17001022171
1584,162959.24697202447
1585,162913.99921179196
1586,162945.06787205
1587,162947.91064095317
1588,162962.07629074162
1589,162977.52446629287
1590,162927.88638495345
1591,162926.68528660169
1592,162918.6031310314
1593,162939.9250897327
1594,162937.34263826278
1595,162959.10722204918
1596,162970.34388535324
1597,163014.46502648044
1598,163032.17458539887
1599,162911.94070690332
1600,162913.05257899305
1601,162940.0626131023
1602,162951.90291971804
1603,162947.38905159355
1604,162915.18771561453
1605,162974.50408041067
1606,162958.70562176584
1607,162993.25181916804
1608,162981.22514926086
1609,162960.2428793124
1610,162958.79293495975
1611,163009.20843276844
1612,162964.7417590966
1613,162981.08478394317
1614,162904.50704721146
1615,162900.5338697028
1616,162901.66237715256
1617,162902.3735514965
1618,162931.9448493579
1619,162986.44664283958
1620,162945.5885812672
1621,162965.2412471816
1622,162967.0532199909
1623,162964.1958121403
1624,162992.0818657274
1625,162988.20215376385
1626,162965.5231337162
1627,162964.45095533325
1628,162982.7995841941
1629,162946.2651418744
1630,162945.4783815558
1631,162939.52212890564
1632,162946.49664816188
1633,162950.2404635927
1634,162939.66675356982
1635,162950.31562370298
1636,162936.68255574227
1637,162982.75653276357
1638,162994.91250020755
1639,162973.36503319265
1640,162989.79436350812
1641,162974.16573432923
1642,162936.41782163357
1643,162941.16202231887
1644,162949.07364082572
1645,162958.53784548244
1646,162962.71087912985
1647,162971.8430944511
1648,162941.6625721402
1649,162946.72631579373
1650,162932.90287127538
1651,162950.36729385646
1652,162901.62427759363
1653,162901.47059032123
1654,162905.68350739178
1655,162904.3726235918
1656,162905.60556143452
1657,162905.88966914904
1658,162905.71014882255
1659,162902.9764101028
1660,162967.58445563074
1661,163008.20406981205
1662,162990.4822422497
1663,162989.95192418495
1664,163004.63029372256
1665,162981.10759619277
1666,163022.98289454277
1667,163039.67621163442
1668,162969.5249544676
1669,162972.60275628333
1670,162998.79166201362
1671,162992.82789602355
1672,163015.81905639046
1673,162996.9466745479
1674,162962.06933752002
1675,162934.88558460886
1676,162921.16354318988
1677,162965.9307278339
1678,163012.8950469488
1679,163014.57272650613
1680,162942.80987713893
1681,162932.49231474067
1682,163022.11502242976
1683,162912.23961616014
1684,162970.50450301534
1685,162951.48449911873
1686,162909.50809515434
1687,162955.01794753294
1688,162943.94661153594
1689,162963.73486962676
1690,162951.91489691724
1691,162943.88857648353
1692,162991.44508472816
1693,162957.7098979537
1694,162947.09798523196
1695,162939.7427675731
1696,163017.33763163257
1697,162940.615521864
1698,162994.04902389788
1699,162973.9958115041
1700,162956.44416395694
1701,162982.26416394417
1702,162977.27846014418
1703,162967.31995036782
1704,162966.83723461087
1705,162955.42064182495
1706,162981.13404770606
1707,162944.9566849853
1708,162950.74681007228
1709,162989.33419377924
1710,162940.73908597423
1711,162969.4932216104
1712,162949.08080341815
1713,162971.0649234965
1714,162952.05690994635
1715,162945.13481535765
1716,162958.4640057013
1717,162938.5962009259
1718,162936.7843048476
1719,162969.39163747168
1720,162965.13693391843
1721,162990.5276452083
1722,162987.843484407
1723,162984.68157789594
1724,162939.54863712014
1725,162979.01934375035
1726,162941.33188933434
1727,162937.10502465774
1728,162953.08873796993
1729,162963.8974918211
1730,162945.27303577756
1731,162957.2586020163
1732,162945.83436892522
1733,162950.87884446862
1734,162953.98524945494
1735,162939.2790677934
1736,162933.3672438448
1737,163016.35484099973
1738,162982.05689999438
1739,162915.330979239
1740,162916.38509907544
1741,162914.98898697624
1742,162908.521840273
1743,162911.8584181381
1744,163007.64409278557
1745,163013.119891296
1746,162961.2500301634
1747,162990.16113821897
